Step,SelectTime,ExpandTime,SimulateTime,BackpropTime,TotalTime
1,14.105,148.547,1048.990,2.734,1215.200
2,12.179,143.112,987.531,2.225,1145.836
3,11.843,162.754,929.837,1.929,1107.048
4,11.525,153.174,932.178,2.005,1099.643
5,11.264,171.735,893.633,2.064,1079.365
6,13.852,162.650,910.390,2.062,1089.635
7,15.918,167.085,882.560,1.520,1067.454
8,16.388,175.398,901.432,1.551,1095.017
9,16.567,199.080,797.951,1.679,1015.524
10,18.532,219.523,853.696,1.821,1093.821
11,19.206,216.867,774.994,1.788,1013.196
12,18.749,190.248,782.378,1.948,993.550
13,20.340,198.539,778.982,1.859,999.935
14,17.711,183.736,720.205,1.902,923.762
15,19.897,193.148,766.521,1.898,981.687
16,24.536,210.144,740.384,2.178,977.464
17,18.900,266.673,652.694,2.236,940.714
18,22.189,182.358,561.908,2.140,768.813
19,22.183,275.864,598.064,2.225,898.563
20,23.231,276.347,575.450,2.288,877.534
21,22.960,177.889,501.467,2.217,704.750
22,23.041,172.061,558.579,2.454,756.351
23,23.020,166.440,543.110,2.299,735.095
24,24.932,147.768,425.946,2.243,601.115
25,22.635,156.096,521.827,2.648,703.434
26,24.173,181.140,465.351,2.615,673.512
27,21.093,186.364,552.009,2.533,762.219
28,18.360,148.394,374.244,2.380,543.594
29,15.525,252.856,354.016,2.625,625.241
30,16.098,133.635,335.279,2.381,487.607
31,16.985,259.428,319.765,2.485,598.875
32,17.158,135.616,299.550,2.532,455.081
33,17.257,141.862,391.509,2.673,553.522
34,19.129,134.559,282.823,2.868,439.601
35,19.555,218.419,252.216,3.009,493.418
36,21.189,115.574,230.091,3.089,370.170
37,19.349,104.065,277.290,2.964,403.884
38,18.378,96.519,182.887,2.950,300.945
39,16.963,87.474,237.454,2.737,344.855
40,17.842,139.704,160.815,3.106,321.689
41,16.187,85.423,162.711,3.247,267.798
42,16.748,90.316,202.654,3.150,313.099
43,15.095,74.910,174.797,3.127,268.162
44,16.123,84.279,122.324,3.334,226.286
45,15.791,63.258,146.305,2.929,228.515
46,15.868,101.526,102.037,3.314,222.977
47,16.665,50.491,99.434,3.485,170.345
48,16.147,44.670,57.690,3.436,122.176
49,18.188,37.945,61.412,3.274,121.077
50,15.279,27.289,28.901,2.930,74.619
51,16.123,17.422,32.316,2.973,69.049
52,11.409,9.269,7.244,2.679,30.826
53,10.221,2.875,2.057,2.040,17.424
54,5.053,0.357,0.724,1.538,7.884
55,4.927,0.238,0.665,1.520,7.568
56,3.370,0.229,0.638,1.473,5.976
57,2.159,0.226,0.675,1.535,4.811
58,1.332,0.219,0.680,1.570,4.026
59,0.691,0.251,0.661,1.515,3.335
60,0.245,0.227,0.644,1.452,2.793
